id,district_code
school-40904,lgab64f14d6026f
school-40905,lgab64f14d6026f
school-40906,lga3cd9f2694391
school-40907,lga945cdd1aa041
school-40910,lga68ed6b749934
school-40911,lgaa7208507e0f1
school-40912,lgab93ffe27bc7d
school-40915,lga4b54ad6025be
school-40917,lgaf711db11e308
school-40919,lga5971dfaf3433
school-40920,lgaa70ee11ecfe2
school-40921,lga0f45891fa7ad
school-40923,lga5c7223f40d56
school-40925,lgab9a0794b42cb
school-40926,lgaee0b3901a073
school-40927,lga20b55ec935eb
school-40928,lgaf72648a14c99
school-40929,lgabbf72d87e377
school-40930,lgad15a5a116e04
school-40931,lga12bb9336429b
school-40933,lgacea61e3f056e
school-40934,lga695a89c7b19b
school-40938,lga53026dafea91
school-40939,lgace51bb223ee3
school-40940,lga2myCy2EsI_Km
school-40941,lga58f09d37a397
school-40945,lga5e8f0b6a35b1
school-40946,lga1a793093877f
school-40949,lga12bb9336429b
school-40950,lgac69cfd288672
school-40951,lgae7983979ea71
school-40952,lga5bf1a288038c
school-40956,lgacddbacde759d
school-40957,lgacddbacde759d
school-40958,lga10f7407af335
school-40960,lgaa5189b29870a
school-40961,lgafd22606d6b20
school-40963,lgadc18daa4e36a
school-40964,act-territory
school-40965,lgaa70ee11ecfe2
school-40966,lga39b8f2c918bf
school-40967,lgabaf7923db3cd
school-40968,lgaf711db11e308
school-40970,lgac69cfd288672
school-40971,lga2myCy2EsI_Km
school-40975,act-territory
school-40977,lga570242050fb9
school-40978,lgabaf7923db3cd
school-40979,lgacf41226610f4
school-40980,lgaaeff9c47295f
school-40981,lga9bd137c30d17
school-40983,lga4449559268d6
school-40986,lga39b8f2c918bf
school-40987,lgaf06f63452dec
school-40988,lgaa5101cb3dc0e
school-40989,lgaa5101cb3dc0e
school-40990,lgacf41226610f4
school-40991,lgaa5101cb3dc0e
school-40992,lga695a89c7b19b
school-40993,lga0f45891fa7ad
school-40994,lga2e3aa047bd58
school-40995,lgaa5101cb3dc0e
school-40996,lga2e3aa047bd58
school-40997,lga7aa37c79c7ff
school-40998,lga695a89c7b19b
school-40999,lga695a89c7b19b
school-41000,lga7aa37c79c7ff
school-41001,lgaa5101cb3dc0e
school-41002,lgacf41226610f4
school-41003,lgac6194db78942
school-41004,lga695a89c7b19b
school-41005,lga2e3aa047bd58
school-41006,lgacf41226610f4
school-41007,lga7aa37c79c7ff
school-41008,lgac6194db78942
school-41009,lga2e3aa047bd58
school-41010,lga09dd4fbbc477
school-41011,lgac6194db78942
school-41012,lga605d8cdb0eb8
school-41013,lga0f45891fa7ad
school-41014,lgaf06f63452dec
school-41015,lgacf41226610f4
school-41016,lgac6194db78942
school-41017,lgaf06f63452dec
school-41018,lga605d8cdb0eb8
school-41019,lga605d8cdb0eb8
school-41020,lga0f45891fa7ad
school-41021,lgac6194db78942
school-41022,lgaa5101cb3dc0e
school-41023,lgac6194db78942
school-41024,lga2e3aa047bd58
school-41025,lga2e3aa047bd58
school-41026,lgaa5101cb3dc0e
school-41027,lga09dd4fbbc477
school-41028,lga2e3aa047bd58
school-41029,lga695a89c7b19b
school-41030,lga695a89c7b19b
school-41031,lgac6194db78942
school-41032,lga09dd4fbbc477
school-41033,lga09dd4fbbc477
school-41034,lga09dd4fbbc477
school-41035,lga695a89c7b19b
school-41036,lga695a89c7b19b
school-41037,lgac6194db78942
school-41038,lgac6194db78942
school-41039,lga2e3aa047bd58
school-41040,lga605d8cdb0eb8
school-41041,lga9b1c2432d8c0
school-41042,lga2e3aa047bd58
