id,type,name,address,postcode,lat,lng,district_code,region,nation,meta,active
school-42266,school,Nana Glen Public School,"Nana Glen, NSW, 2450",2450,-30.135619,153.006206,lga14af0b5e48b8,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Coffs Harbour""}",True
school-42267,school,Newrybar Public School,"Newrybar, NSW, 2479",2479,-28.717114,153.533055,lgacd5e92fad2d8,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Ballina""}",True
school-42268,school,Nimbin Central School,"Nimbin, NSW, 2480",2480,-28.595871,153.220891,lga35f80aa51641,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Combined"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Lismore""}",True
school-42269,school,Nymboida Public School,"Nymboida, NSW, 2460",2460,-29.947482,152.727964,lgaee0b3901a073,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Outer Regional"", ""lga_name"": ""Clarence Valley""}",True
school-42270,school,Old Bar Public School,"Old Bar, NSW, 2430",2430,-31.972339,152.588536,lga2e987509b39d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Mid-Coast""}",True
school-42271,school,Old Bonalbo Public School,"Old Bonalbo, NSW, 2469",2469,-28.654622,152.597413,lga142c33281bd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Outer Regional"", ""lga_name"": ""Kyogle""}",True
school-42272,school,Orara Upper Public School,"Upper Orara, NSW, 2450",2450,-30.289005,153.01324,lga14af0b5e48b8,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Coffs Harbour""}",True
school-42274,school,Palmers Island Public School,"Palmers Island, NSW, 2463",2463,-29.419567,153.28822,lgaee0b3901a073,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Clarence Valley""}",True
school-42275,school,Wooli Public School,"Wooli, NSW, 2462",2462,-29.870923,153.265781,lgaee0b3901a073,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Clarence Valley""}",True
school-42276,school,The Pocket Public School,"The Pocket, NSW, 2483",2483,-28.505414,153.479112,lga123b323d59f1,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Byron""}",True
