id,type,name,address,postcode,lat,lng,district_code,region,nation,meta,active
nursery-01HGCQVZTAPR02WV7XE5N2S8W9,nursery,Mount Sinai College OSHC - Extend,"Mt Sinai College, 6 Runic Lane, Maroubra",2035,-33.9351811,151.236752,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40001263MQA5ADAAMAAwADYAOAA2ADkATAA="", ""provider_id"": ""PR-00002530"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter""], ""rating"": ""MEET""}",true
nursery-01HGCQVZMNMDZMWY0BD29PS7RP,nursery,Kooloora Vacation Care,"167 Bilga Crescent, Malabar",2036,-33.9741722,151.2474497,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40001258MQA5ADAAMAAxADQAMwAwADMASwA="", ""provider_id"": ""PR-40004833"", ""service_type"": [""Centre-Based Care"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01HGCQVZ63RGVEVD7ARSW9MQC6,nursery,Only About Children Coogee Carr Street,"Corner Byron And, 2 Carr St, Coogee",2034,-33.922097,151.2502507,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40001245MQA5ADAAMAAwADYAMQA0ADQASAA="", ""provider_id"": ""PR-00004699"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCQVYXDT8W81T92Z6QT8TEC,nursery,YMCA Malabar OSHC,"Malabar Public School, 231-239 Franklin St, Malabar",2036,-33.9621535,151.2485111,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40001234MQA5ADAAMAAxADEAMwA2ADIAVgA="", ""provider_id"": ""PR-00005683"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01HGCQVXZH8FQ94HFNNZC30CX4,nursery,Little Voyagers Early Learning Centre Chifley,"36 Burke St, Chifley",2036,-33.9643576,151.2415973,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40001181MQA5ADAAMAA0ADgAOAAwADYAVAA="", ""provider_id"": ""PR-40020869"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCQVTF7MDYHGX57AFQ6MW7Q,nursery,Miri's Creche,"107 Brook St, Coogee",2034,-33.9211258,151.254652,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40001046MQA5ADAAMAAxADEAMQA4ADkASAA="", ""provider_id"": ""PR-40000956"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCQVRZ0EH8D9T54G9XZW7S0,nursery,South Coogee Children's Services,"South Coogee Public School, 1 Tucabia St, South Coogee",2034,-33.9325302,151.2542815,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40001102MQA5ADAAMAAxADcAMAA2ADMAQgA="", ""provider_id"": ""PR-00004202"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""EXCD""}",true
nursery-01HGCQVQ7YK16C4D9FNBMG8HPA,nursery,Camp Australia - St Aidan's Catholic Primary School Maroubra OSHC,"St Aidans Catholic School, 214 Maroubra Rd, Maroubra",2035,-33.9418042,151.2421795,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40000902MQA5ADAAMAA2ADEAMwA4ADcAUwA="", ""provider_id"": ""PR-00002539"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01HGCQVH9M7T7D5WSPQQ942X4A,nursery,Active Kids Moore Park,"20 Gadigal Ave, Zetland",2017,-33.9043291,151.2136306,lga605d8cdb0eb8,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40000561MQA5ADAAMAAxADEAOAAwADkAQgA="", ""provider_id"": ""PR-00005466"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""EXCD""}",true
nursery-01HGCQVACCJ9NQF6R53GWVH84D,nursery,Montessori East Primary School- VillageOSHC,"8 Wellington St, Bondi",2026,-33.89315880000001,151.2638466,lga7aa37c79c7ff,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40000240MQA5ADAAMAA2ADEAOQAyADgASAA="", ""provider_id"": ""PR-40023510"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter""], ""rating"": ""MEET""}",true
nursery-01HGCQV5JJ892JJ838K6G9RAKT,nursery,SDN Kingsford at UNSW Sydney,"9 Kennedy St, Kingsford",2032,-33.9211191,151.2333543,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40000113MQA5ADAAMAAzADQAMgAxADgAQgA="", ""provider_id"": ""PR-00005562"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""EXCD""}",true
nursery-01HGCQTC5N1319TY83AJJ5EK1T,nursery,Coogee Care Centre Incorporated,"Coogee Public School, Byron Street, Coogee",2034,-33.9203963,151.2497476,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00013698MQA5ADAAMAAxADIAMAA4ADMAUwA="", ""provider_id"": ""PR-00007941"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01HGCQT81CZPY9YW819QQC1ZHS,nursery,Daceyville OSHClub,"Daceyville Public School, Joffre Crescent, Daceyville",2032,-33.9289542,151.2271632,lga695a89c7b19b,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00013816MQA5ADAAMAAyADQAMQA4ADAAUwA="", ""provider_id"": ""PR-40004402"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
